"plate","ssn","model","color"
"32و25515556","837686941627114","پراید","نقره‌ای"
"41ط04722229","267626962356406","دنا","زرد"
"77ب94796325","267626962356406","تیوتا","زرد"
"86ر15667930","287344385769333","لامبورگینی","آبی کاربنی"
"20و90363818","287344385769333","لامبورگینی","آهکی"
"22ب87834208","448701494151455","تیوتا","سیاه"
"24ر61059796","36361685596136","پژو","سبز دودی"
"23ط00093543","36361685596136","رانا","سبز دودی"
"50ب7344882","420597969374074","رانا","آهکی"
"46س30632318","420597969374074","لامبورگینی","آبی"
"50ج20463421","328038184604035","پژو","سبز"
"38و40184322","328038184604035","تیوتا","آهکی"
"79ج31398453","328038184604035","دنا","بنفش"
"60ق47762016","494842343062224","لامبورگینی","سیاه"
"97ی24291325","494842343062224","تیوتا","سیاه"
"14ق1241344","494842343062224","تیوتا","فیروزه‌ای"
"16ج80477817","864496408947839","لامبورگینی","سبز دودی"
"92ق66342026","864496408947839","هیوندا","سبز دودی"
"17ط90234080","964850367643498","پژو","آهکی"
"61و85711952","964850367643498","رانا","ارغوانی"
"29ق17897199","964850367643498","لامبورگینی","زرد"
"10س66556704","548242196183930","پراید","بنفش"
"91ط54571252","548242196183930","تیوتا","عنابی"
"21ب34389237","778800274832642","رانا","زیتونی"
"72ق74927308","778800274832642","تیوتا","آبی کاربنی"
"90س2964455","941919293446859","پراید","سیاه"
"96ج95978558","941919293446859","هیوندا","خاکستری"
"11ط23031716","771982979050004","رانا","آهکی"
"17ط37313945","771982979050004","دنا","نقره‌ای"
"52و47961601","448505649063004","هیوندا","فیروزه‌ای"
"14ط64480582","448505649063004","پژو","آبی"
"98و25683069","358907500199014","پراید","نقره‌ای"
"38ب79847593","358907500199014","رانا","خاکستری"
"55ط1330743","358907500199014","رانا","آبی کاربنی"
"14و44155768","755521700401037","هیوندا","سبز"
"88س07834111","755521700401037","پراید","آبی کاربنی"
"69ر94123790","755521700401037","پراید","زرد"
"40ی88021464","411071425163707","دنا","نقره‌ای"
"33ر63407218","877902272873196","رانا","آهکی"
"65ب16768667","505632948414646","هیوندا","زیتونی"
"78ی30860695","505632948414646","لامبورگینی","خاکستری"
"58ر06736545","505632948414646","هیوندا","سیاه"
"29ط63047047","97204095821826","تیوتا","زرد"
"48ط00329285","97204095821826","رانا","آبی"
"25ب47702867","423287017088804","لامبورگینی","بنفش"
"45ط30002759","574976009804332","دنا","ارغوانی"
"56ط98489160","574976009804332","پژو","بنفش"
"77ب76710674","574976009804332","لامبورگینی","سبز دودی"
"92ج69777279","845758088524252","هیوندا","سیاه"
"40ج16751472","96378021346160","پراید","ارغوانی"
"66س80805972","96378021346160","هیوندا","زرد"
"12ج42517888","96378021346160","لامبورگینی","زیتونی"
"79ی91109868","254874113642470","پژو","آبی کاربنی"
"92س11747726","370747266508531","پراید","سفید"
"74ر11226542","370747266508531","تیوتا","زرد"
"57ق46163893","370747266508531","هیوندا","نقره‌ای"
"23و14992151","68185522279987","پراید","زیتونی"
"29ب27464100","68185522279987","لامبورگینی","بنفش"
"63و52507747","662468159286309","تیوتا","آهکی"
"57و22330892","662468159286309","هیوندا","آبی کاربنی"
"66ق71738889","662468159286309","پراید","آبی کاربنی"
"45ق12018353","519194288494216","پژو","فیروزه‌ای"
"52ق19285861","519194288494216","دنا","سفید"
"15ط49118355","360144266155078","دنا","سفید"
"96ق11988785","360144266155078","هیوندا","سبز دودی"
"16ب72937979","333934370036126","رانا","زیتونی"
"90ب741421","333934370036126","هیوندا","نقره‌ای"
"65ر98031306","433647529815399","تیوتا","زرد"
"87ب89977457","433647529815399","تیوتا","فیروزه‌ای"
"64و02162076","433647529815399","لامبورگینی","آبی"
"69ی9320673","704378184295568","تیوتا","خاکستری"
"36ر20989426","704378184295568","پراید","نقره‌ای"
"75س62810671","540036277487527","هیوندا","سبز دودی"
"34ی06163713","554248127064427","تیوتا","نقره‌ای"
"17ق55899529","554248127064427","لامبورگینی","زیتونی"
"57ق398677","554248127064427","دنا","زرد"
"45ج68251717","640099534238285","پژو","نقره‌ای"
"98ی72230143","79630578007567","هیوندا","آبی کاربنی"
"29و03708460","79630578007567","پراید","بنفش"
"98ب31557556","327779718778500","پراید","خاکستری"
"65ی58063521","146978025739048","پراید","نقره‌ای"
"24ط72272837","146978025739048","تیوتا","سبز"
"92ب21873686","146978025739048","دنا","فیروزه‌ای"
"36ی51015911","321983971906218","دنا","زرد"
"94ی76425811","321983971906218","تیوتا","آبی"
"71ج05943480","87546601486308","هیوندا","زرد"
"40ج3511221","87546601486308","تیوتا","ارغوانی"
"34و35340323","81488939363633","پراید","نقره‌ای"
"65ب31897614","81488939363633","لامبورگینی","نقره‌ای"
"43س80022549","741394339427639","هیوندا","بنفش"
"93و13413745","584744427137978","پژو","سبز دودی"
"88و49108920","183868052691923","رانا","سبز"
"99ی96472766","842374643026731","هیوندا","زیتونی"
"83س51956125","842374643026731","پراید","زرد"
"45ق3087224","507981165102997","تیوتا","آبی کاربنی"
"63ی04836642","507981165102997","پراید","زیتونی"
"64ی61384578","654067516606309","لامبورگینی","خاکستری"
"22ی73345566","278145613161498","پژو","خاکستری"
"47ی81271221","278145613161498","تیوتا","خاکستری"
"86ر97730731","73013169082371","پراید","سیاه"
"41ر42397321","73013169082371","پراید","آبی کاربنی"
"22ق5567275","73013169082371","لامبورگینی","سفید"
"11ج83794090","562249220944728","تیوتا","سفید"
"57ق23924988","850382576640462","رانا","عنابی"
"49ج55126176","516822629949558","دنا","عنابی"
"47ج06248502","516822629949558","هیوندا","زرد"
"80ج77269489","516822629949558","لامبورگینی","سیاه"
"79ط43134202","172098355415850","تیوتا","آبی"
"47ق15894201","172098355415850","پراید","سبز"
"40ی32390840","172098355415850","لامبورگینی","خاکستری"
"16ط45918587","762457446031864","دنا","آبی"
"24ط10110335","762457446031864","رانا","زرد"
"50س96480151","762457446031864","پژو","سبز"
"53ی36969737","220128525323251","رانا","سبز دودی"
"60ی32777793","220128525323251","دنا","آبی کاربنی"
"52ق9444367","488564041277259","پراید","ارغوانی"
"47ی0886996","488564041277259","لامبورگینی","نقره‌ای"
"87ط16623288","781985536488635","هیوندا","زیتونی"
"81و21297536","781985536488635","لامبورگینی","نقره‌ای"
"94س9671350","781985536488635","هیوندا","آهکی"
"91ج58703559","146162641921333","لامبورگینی","آبی کاربنی"
"93و88956921","917146500791817","هیوندا","آهکی"
"71ر52383052","917146500791817","تیوتا","آبی کاربنی"
