"ssn","price","postal_code","size","address"
"837686941627114","245973695","3997460127","213","46351 نازنین زهرا جاده, دهستان حسین, لرستان 726903"
"837686941627114","258049809","6840008881","299","407 سوگند بن بست, بندر یسنا, گلستان 24104"
"518862038694720","810716919","3171539756","130","23552 امیرعباس دره, غرب محمدیاسین, اصفهان 97359"
"518862038694720","240577831","8214485917","161","2606 لاهوتی بن بست سوئیت 000, دهستان آرمين, لرستان 007401"
"488085876870818","865388357","3065143437","246","46954 جلیلی کوه سوئیت 730, غرب كوثر, سیستان و بلوچستان 81861"
"488085876870818","131873070","9524477558","266","673 محمدحسین تونل سوئیت 074, روستای مليکا, آذربایجان شرقی 611"
"287344385769333","907795228","8241371793","268","3442 فاطمه بزرگ راه سوئیت 769, دهستان آيلين, مازندران 7034"
"190548507141097","811741122","5966039233","276","22150 جهانی تونل سوئیت 550, بندر آرش, قم 696082"
"448701494151455","863505612","6109973613","96","9763 ستايش میدان واحد 256, بندر حنانه, کردستان 41131"
"328038184604035","644974093","7448257967","297","174 عقیلی جاده سوئیت 296, شهر رها, کهگیلویه و بویراحمد 538"
"494842343062224","739380418","1312731730","266","44145 مهدیان جنب سوئیت 046, دهستان امیرمحمد, فارس 042087"
"494842343062224","439815062","8154230377","246","90811 علی شاهی پل, استان آراد, آذربایجان شرقی 197730"
"864496408947839","526047679","3227900156","123","056 کریمی پل واحد 918, باغات هستی, هرمزگان 84967"
"964850367643498","500855585","9596663819","253","314 معصومه خیابان, غرب یاسمین, خراسان جنوبی 67023"
"964850367643498","321126148","4685916998","244","1580 فاطمياسارينا جنب, شهر نازنین زهرا, یزد 2514930096"
"941919293446859","926950570","3138662192","119","1425 اسما دره, استان فاطمياسارينا, کردستان 320"
"941919293446859","990673733","6697047375","154","6558 آيناز خیابان واحد 867, شمال نازنين, سمنان 86705"
"771982979050004","126700184","3092851341","182","684 معصومه آزاد راه, بندر اسما, کرمانشاه 6444657334"
"771982979050004","392525296","5723143354","226","77331 ابوالفضل بلوار, استان پرنيا, همدان 6627"
"358907500199014","903315370","6488758960","236","0737 محمدامين بزرگ راه واحد 976, شهرستان يوسف, خراسان شمالی 3844"
"755521700401037","517567245","8778739002","87","0461 یزدی تونل سوئیت 169, شمال محمد, مرکزی 32270"
"411071425163707","676435710","4352346350","85","25429 اشتری تونل, استان آرمين, گیلان 4625519805"
"411071425163707","188892267","6385858278","278","729 محمد آزاد راه, باغات نازنین زهرا, مرکزی 996"
"505632948414646","347819798","9227964291","213","980 عبدالمالکی کوچه, غرب آرتين, قزوین 5393"
"505632948414646","495988222","4821116482","105","3494 مهدیس تونل, دهستان مائده, فارس 434"
"574976009804332","173104515","7477508905","118","0982 آوا دره واحد 513, غرب رها, بوشهر 575"
"574976009804332","552675178","1461806136","260","5689 فرجی جنب سوئیت 547, شهر آرتین, سمنان 568145"
"845758088524252","397543811","4713553007","276","69501 علي تقاطع واحد 918, جنوب مريم, همدان 067"
"845758088524252","967190551","6235660332","257","579 امیرمحمد جنب, شرق آريا, سیستان و بلوچستان 6916518577"
"200205515792285","333770712","7884849138","299","9296 ربانی کوه, غرب اسما, مازندران 9008209090"
"96378021346160","424848694","7714277003","185","70839 النا پل سوئیت 567, باغات مهسا, گیلان 835"
"254874113642470","928866028","4446289994","91","89316 سارا جاده سوئیت 212, شمال اميرحسين, فارس 36891"
"254874113642470","802583228","4514581400","241","2994 علی رضا جنب واحد 338, روستای نیما, قم 13529"
"370747266508531","176148100","8167499355","190","80745 بهرامی کوچه, باغات اسرا, خراسان جنوبی 678"
"370747266508531","608841183","9668825058","289","469 جعفر پور تونل سوئیت 052, غرب زهرا, قزوین 27400"
"102588059318975","365198461","1228687281","198","25225 اکبر پور پل سوئیت 145, غرب مبین, هرمزگان 1803"
"102588059318975","555464634","8924066371","196","9044 باران خیابان سوئیت 953, استان محمدجواد, گلستان 8287811082"
"519194288494216","432396138","3263799886","220","477 بهمنی میدان سوئیت 328, شمال محيا, یزد 06212"
"519194288494216","114892883","3083746226","105","850 نامور آزاد راه واحد 980, استان مبينا, کرمانشاه 42751"
"360144266155078","834150623","4705175102","198","483 ثنا جزیره, دهستان عسل, سمنان 1007420756"
"360144266155078","123645473","3892105494","268","7889 مهدي بزرگ راه, شمال آرتين, قم 5596582736"
"418592619066410","421338815","2809423783","119","647 یاسین پل, بندر نرگس, تهران 635"
"369231717175443","930077035","2107688512","252","3839 هنری بن بست واحد 861, شرق نیما, خراسان رضوی 8484518744"
"369231717175443","202628163","2722894000","221","60871 النا دره, استان مبين, تهران 692"
"333934370036126","53573475","2662632622","253","82439 اسما میدان واحد 488, بندر ابوالفضل, زنجان 0033784730"
"333934370036126","285378268","3443012762","204","5804 تنزیلی تقاطع واحد 010, غرب محمدیاسین, سیستان و بلوچستان 454"
"433647529815399","574003681","3122439866","103","4344 رفیعی چهار راه, غرب عسل, مرکزی 195005"
"433647529815399","391919149","1840019425","165","93375 سوگند کوچه, روستای ساميار, هرمزگان 60913"
"540036277487527","742370586","1515884644","264","22324 محدثه پل واحد 973, شمال عباس, اردبیل 22345"
