"ssn","number","operator"
"267626962356406","09587276110","همراه اول"
"287344385769333","09599959109","همراه اول"
"448701494151455","09631638227","رایتل"
"36361685596136","09666909310","ایرانسل"
"420597969374074","09260553880","رایتل"
"328038184604035","09180865387","ایرانسل"
"494842343062224","09926264433","رایتل"
"180909002113599","09244804011","همراه اول"
"964850367643498","09997369845","همراه اول"
"778800274832642","09906463351","رایتل"
"941919293446859","09206884554","همراه اول"
"358907500199014","09578830272","رایتل"
"755521700401037","09413876450","همراه اول"
"505632948414646","09957628731","رایتل"
"97204095821826","09435735352","همراه اول"
"423287017088804","09300202633","همراه اول"
"845758088524252","09383256864","ایرانسل"
"475557487043449","09970914245","ایرانسل"
"200205515792285","09997983420","ایرانسل"
"96378021346160","09741689522","رایتل"
"370747266508531","09167542535","رایتل"
"662468159286309","09322829870","رایتل"
"360144266155078","09546051610","رایتل"
"433647529815399","09196966964","ایرانسل"
"704378184295568","09867879955","رایتل"
"540036277487527","09702033131","ایرانسل"
"554248127064427","09868713400","رایتل"
"640099534238285","09170427645","همراه اول"
"79630578007567","09448664610","همراه اول"
"321983971906218","09457699533","همراه اول"
"87546601486308","09175594920","همراه اول"
"45999633805610","09395918704","ایرانسل"
"327260141265703","09840699884","رایتل"
"584744427137978","09603704634","ایرانسل"
"842374643026731","09607194851","ایرانسل"
"140042139577130","09360043704","ایرانسل"
"507981165102997","09424555982","همراه اول"
"762457446031864","09965634617","همراه اول"
"220128525323251","09387848648","همراه اول"
"488564041277259","09281874703","رایتل"
"484852324862602","09157641239","رایتل"
"781985536488635","09818206371","ایرانسل"
"980620719224527","09503897325","رایتل"
"146162641921333","09512215902","ایرانسل"
"594391289178634","09130983971","همراه اول"
"105549292039155","09356755015","ایرانسل"
"189585442578931","09670722961","رایتل"
"280830420878127","09750667541","همراه اول"
"947828301900223","09119747887","ایرانسل"
"484594473651569","09855278514","ایرانسل"
"504195692672475","09422141721","ایرانسل"
"609431134531401","09485761983","همراه اول"
"339753686418445","09261082621","ایرانسل"
"727484246590189","09910830996","رایتل"
"658525952432541","09124541059","رایتل"
"816544362877247","09704188907","همراه اول"
"101548270782743","09638890272","رایتل"
"156951644520480","09137397131","رایتل"
"839463878859727","09258115956","ایرانسل"
"862553038887036","09754710289","ایرانسل"
"845059836704717","09382458798","ایرانسل"
"768342597295349","09870922190","ایرانسل"
"279086524043285","09232595646","همراه اول"
"100836360570007","09703017031","رایتل"
"503101129025973","09102560846","رایتل"
"662487200914523","09673468524","همراه اول"
"607126082121403","09100689358","رایتل"
"817733939739252","09731733067","رایتل"
"414773322904466","09963029681","رایتل"
"413007483426578","09949762452","ایرانسل"
"778595347101996","09670442533","ایرانسل"
"651327417759665","09159940427","همراه اول"
"318958372227655","09728112681","رایتل"
"745382265119050","09993613504","همراه اول"
"693147002882277","09467128589","رایتل"
"962210266723390","09356567878","همراه اول"
"280302708465126","09986718002","رایتل"
"823578288813168","09248068956","رایتل"
"585791011532163","09403246888","همراه اول"
"877388169062890","09527821610","رایتل"
"288651751628990","09149152225","همراه اول"
"255642620363911","09638855848","رایتل"
"813198686094298","09401867328","همراه اول"
"453494851028030","09989692351","همراه اول"
"431467959491967","09585583434","رایتل"
"839882469619571","09376835976","همراه اول"
"820389242727975","09734599082","ایرانسل"
"368302352005309","09754222179","ایرانسل"
"277176292208190","09186090744","رایتل"
"246183642945743","09808025982","رایتل"
"772542352842608","09790145668","همراه اول"
"199267453901944","09607908169","همراه اول"
"522534608973176","09961104986","ایرانسل"
"215705908211292","09134726593","رایتل"
"322004434915100","09837918620","همراه اول"
"381506293092484","09650606220","ایرانسل"
"585728856922829","09923263543","ایرانسل"
"912344077695717","09474135272","ایرانسل"
"223943406703998","09133447908","رایتل"
"353473184207296","09958426657","ایرانسل"
"993039634785414","09917964070","رایتل"
"917005544167324","09535906103","ایرانسل"
"454711640301427","09446542584","ایرانسل"
"640785909256409","09471169795","رایتل"
"699136559401626","09396019217","ایرانسل"
"524934047193109","09768002604","ایرانسل"
"817113860417199","09729565588","همراه اول"
"686634163714478","09402333425","ایرانسل"
"113544763288654","09604114188","ایرانسل"
"391243638135245","09640283993","همراه اول"
"686253357843993","09549917658","رایتل"
"870845179907893","09213859802","رایتل"
"724964457897263","09680657410","همراه اول"
"790131226079683","09133056859","همراه اول"
"875786636465595","09347692223","همراه اول"
"224167934846628","09131804628","ایرانسل"
"751140018507807","09911964591","رایتل"
"718158156845950","09192054997","ایرانسل"
"605857485699195","09390700606","ایرانسل"
"75462233404470","09608743593","رایتل"
"243491759742655","09968884796","همراه اول"
"863662582891385","09932884954","ایرانسل"
"61774970152194","09629509907","همراه اول"
"421961676804113","09896042718","همراه اول"
"418220555059796","09973994954","ایرانسل"
"73290277475501","09550554028","رایتل"
"179603498352619","09493949513","ایرانسل"
"927023846346824","09350668552","همراه اول"
"49091780241560","09929385541","همراه اول"
"422239531874550","09495635744","رایتل"
"793937712297354","09771116959","ایرانسل"
"714686600937530","09801991638","همراه اول"
"902831278212405","09366352324","همراه اول"
"168213888652597","09525917514","ایرانسل"
"450460853498339","09378434815","ایرانسل"
"187413182821392","09399404232","ایرانسل"
"909441565639171","09377043206","ایرانسل"
"535584801996496","09619695493","ایرانسل"
"300139746319475","09703004650","همراه اول"
"801612067844497","09805198239","رایتل"
"213963557948910","09918405103","ایرانسل"
"449755836061635","09970719179","همراه اول"
"486388891809614","09798785081","ایرانسل"
"713428732932603","09967819285","ایرانسل"
"491355817078610","09485473752","رایتل"
"789722437266517","09968213912","همراه اول"
"451733111236620","09767405240","ایرانسل"
"493395575769035","09974749867","ایرانسل"
"730679305195600","09247070184","ایرانسل"
"634257028077331","09633290075","ایرانسل"
"96388441635758","09747338880","همراه اول"
"299165508332230","09611584870","رایتل"
"860071933648103","09191595084","رایتل"
"461414354260043","09934249257","همراه اول"
"616167682636988","09333120999","ایرانسل"
"319813629658839","09445543859","رایتل"
"400051577769170","09273966977","رایتل"
"881817891482707","09938678160","رایتل"
"702315344919861","09245873842","همراه اول"
"503288123925035","09833019943","ایرانسل"
"261110103473211","09522854089","رایتل"
"224157150103510","09669506985","رایتل"
"744636881921349","09291459051","همراه اول"
"644966217436047","09758713619","همراه اول"
"748124551211990","09496496761","همراه اول"
"251014097363956","09626098530","ایرانسل"
"873318577073383","09739785508","همراه اول"
"470000730203763","09655319772","ایرانسل"
